电影名,导演,类型,上映日期,剧情简介
侏罗纪公园,史蒂文·斯皮尔伯格,科幻;惊悚;冒险,2013-8-20,哈蒙德（理查德•阿滕伯勒 Richard Attenborough  饰）立志要建立一个非同寻常的公园：恐龙将是这个公园的主角。他把众多科学家收归旗下，利用琥珀里面困住的远古蚊子体内的血液，提取出恐龙的基因信息，利用这些信息培育繁殖恐龙。结果如愿以偿，他把怒布拉岛建立成了一个恐龙公园，坚信可以从中赚取大钱。然而，科学家们则忧心忡忡。                                                                    　　不幸的事情果然发生了。虽然公园有电脑系统管理，但却因为被员工破坏而造成了无法挽救的失控：所有的恐龙逃出了控制区，人们纷纷逃窜却逃不过恐龙的魔爪。恐龙自相残杀，人们亦死难无数，最后幸存者寥寥，只得四人逃出生天。怒布拉岛上空弥漫着恐怖的气息。
星球大战2：帝国反击战,厄文·克什纳,动作;冒险;科幻,1980-5-21,维德勋爵（大卫•普劳斯 David Prowse 饰）把抵抗力量赶出基地，并派出数以千计的探针寻找卢克•天行者（马克•哈米尔 Mark Hamill 饰）。抵抗力量埋伏到冰天雪地的哈斯星，卢克在一次巡逻任务中意外被雪人所俘，运用“原力”逃生后晕厥中听到欧比-旺•肯诺比（亚历克•吉尼斯 Alec Guinness 饰）要他前往狄克星寻找绝地武士尤达师傅受训。银河帝国派出大军进攻哈斯星，韩•索罗（哈里森•福特饰）携猿人丘巴卡（彼得•梅林 Peter Mayhew 饰）带莉亚公主（卡里•费什尔 Carrie Fisher 饰）和机器人C-3PO乘千年隼飞船逃生，到达韩•索罗的旧识总督蓝多•卡瑞辛（比利•迪•威廉姆斯 Billy Dee Williams 饰）的贝斯平云城暂时歇脚，却发现蓝多早与维德勋爵达成协议，出卖韩•索罗设计陷阱诱惑卢克前来。学业未成的卢...
她的回忆,森本晃司,动画;冒险;科幻,1995-12-23,21世纪末，浩瀚无际的宇宙空间内，太空垃圾回收船日冕号正夜以继日地工作。船员伊万诺夫、大岛、海因茨等人既感烦躁，又觉无聊，只能通过插科打诨派遣抑郁的心情。就在此时，日冕号突然收到一段奇怪的求救信号。信号源自某个太空墓场，其间夹杂着女声所吟唱的普契尼著名歌剧《蝴蝶夫人》的段落。经过漫长跋涉，日冕号终于抵达太空墓场，海因茨和米格尔下船勘查，谁知却在这个与世隔绝的所在发现种种异状。在此之前，拥有传奇华美人生的歌剧演员艾娃似乎盘桓于此，如梦如幻的世界，海因茨和米格尔渐渐迷失在艾娃以及彼此的记忆中，他们深陷幻象无法自拔……                                                                    　　本片为《回忆三部曲》中的一部。
铁甲钢拳,肖恩·利维,剧情;动作;科幻;运动,2011-11-8,2020年，未来一个并不遥远的年份，整个世界已经发生了许多变化。在那个时代，人类拳击不再被允许，取而代之的是各种机器人走上了擂台，继续这项火爆的运动，愉悦大众。前拳击手查理·肯顿（休·杰克曼 Hugh Jackman 饰）似乎并不那么落寞，他很快适应了时代的发展，带着经过训练的机器人一次次走上拳台。但是倒霉事接二连三，他先是意外落败，债台高筑，继而接到前女友突然过世的消息，并见到了从未谋过面的儿子——11岁男孩麦克斯（达科塔·高尤 Dakota Goyo 饰）。                                                                    　　一次意外，让麦克斯遇到了一台业已被淘汰的陪练机器人Atom。在麦克斯的坚持下，查理同意让Atom参加比赛，却意外发现这台“废物”不仅抗打，而且拥有搏斗的潜质与天赋。肯顿父子和他们的机器人由此踏上新的征途……
异形,雷德利·斯科特,科幻;惊悚;恐怖,1979-5-25,未来的世界，人类已能轻松穿梭于星际之间，在太空中展开商业活动。“诺史莫”是在太空活动的众多星际商业运输船之一。一次，它完成任务满载太空矿石返航地球时，突然收到了一组奇怪的信号，由于这可能是求救信号，飞船接到指令前往信号源地进行搜救。                                                                    　　经过一段飞行后，飞船终于抵达信号源发出的地方。船员们发现此处果然有一艘坠毁的飞船，只是，经过一番搜索，他们发现该船的船员们都早已死亡，化为化石。此时，留在“诺史莫”号的第三指挥官里普利已经破译出该信号并不是求救信号，而是警告信号！队员的生死搏斗开始了！
星球大战3：绝地归来,理查德·马昆德,动作;科幻;奇幻;冒险,1983-5-25,银河帝国再建威力更大的新“死星”，试图彻底消灭抵抗力量。卢克•天行者（马克•哈米尔 Mark Hamill 饰）派机器人R2-D2和C-3PO前往塔图因星贾霸处协商交换被冷冻的韩•索罗（哈里森•福特饰）未果；后在莉亚公主（卡里•费什尔 Carrie Fisher 饰），猿人丘巴卡（彼得•梅林 Peter Mayhew 饰）和蓝多•卡瑞辛（比利•迪•威廉姆斯 Billy Dee Williams 饰）的帮助下终于营救成功。在尤达师傅处，卢克发现了更多关于自己身世的秘密，也终于决定迎接成为一个绝地武士的终极挑战。卢克回到抵抗组织参与攻打“死星”行动，与韩•索罗，莉亚公主，丘巴卡，机器人R2-D2和C-3PO共同前往森林密布的恩多星破坏“死星”防护罩的能源站，与此同时蓝多•卡瑞辛驾驶千年隼飞船带领各部施展航空打击。没曾想卢克一行人刚踏上恩多星，就遭遇当地部...
飞向太空,安德烈·塔可夫斯基,剧情;科幻;悬疑,1972-3-20,心理学家克里斯•凯尔文（Donatas Banionis 饰）在飞往索拉瑞斯星之前来到儿时的父母家与当年的索拉瑞斯飞行员亨利•伯顿（Vladislav Dvorzhetsky 饰）见面。伯顿警告凯尔文索拉瑞斯星上会有不可思议的奇事发生，但后者并不以为意。凯尔文离开前，当 着父亲（尼古莱•格陵柯Nikolai Grinko 饰）的面焚毁了自己的个人物品。凯尔文到达索拉瑞斯星附近的太空站后，对科学家奇巴瑞安博士（Sos Sargsyan 饰）之死进行调查，却发现自己多年前已经去世的妻子哈莉（Natalya Bondarchuk 饰）竟突然出现。惊慌失措的凯尔文与太空站上的科学家们讨论该如何面对怪事，却发现原来每人都深受其扰，不明就里……                                                                    　　本片被提名1972年戛纳电影节金棕榈奖，并获同年戛纳电影节评委会大奖和国际影评人协会大奖。
原始星球,阿内·拉鲁,动画;科幻,1973-12-6,茫茫宇宙中一颗无名星球上，生活着体形悬殊的两种生物。占主导地位的是戴格斯人，他们身形巨大，拥有极高的文明和智慧，可以使精神摆脱肉体自在游弋；与之相对的是奥姆斯人，他们具有地球人的外表和身形，社会形态原始落后，在戴格斯人面前有如蝼蚁，于是当仁不让成为这些巨人的奴隶和玩物。奥姆斯人具有顽强的生命力和繁殖能力，他们的数量与日俱增，造成了统治者的困扰。于是，一场针对奥姆斯人的剿灭战随即展开。这本是一场微不足道的如同剿灭害虫的行动，但一个不起眼的奥姆斯人改变了双方的格局。泰尔是被一个戴格斯女孩豢养的奥姆斯男性宠物，他通过主人的教学机器学到了戴格斯人先进的科学文化知识。偶然机会，泰尔逃离戴格斯家庭，成为了领导奥姆斯人对抗统治者的领袖……                                                                    　　本片荣获1973年戛纳电影节特别奖。
明日边缘,道格·里曼,动作;科幻,2014-6-6,未来世界陷入外星人入侵的恐慌中，军事演说家凯奇少校（汤姆·克鲁斯 Tom Cruise 饰）畏惧上战场，他从没想过将军（布莱丹·格里森 Brendan Gleeson 饰）会让他去指挥即将开始的“诺曼底战役”，拒绝接受命令之后将军居然恶整了他，那就是把他当做逃兵扔进了军 营中。凯奇被归入了J小队中进行战斗，战役的第一天就惨死在战场，没想到这一死让他拥有了时空循环的能力，而唯一相信他的人就是被称为“全金属战士”的丽塔·沃拉塔斯基（艾米莉·布朗特 Emily Blunt 饰）。二人开始了时空循环作战，在训练凯奇的同时他们发现了控制时间的奥秘，这与外星人“主脑”欧米茄有关，但是唯一能取得胜利的方法就是让凯奇不断死去、不断重启时间。在不断重复登陆那天的战斗的同时，凯奇越来越不想失去丽塔……
X战警：逆转未来,布莱恩·辛格,剧情;动作;科幻;冒险,2014-5-23,故事的设定发生在当下，变种人族群遭到了前所未有的毁灭性打击，而这一切的根源是“魔形女”瑞文（詹妮弗·劳伦斯 Jennifer Lawrence 饰）在1973年刺杀了玻利瓦尔·特拉斯克（彼特·丁拉基 Peter Dinklage 饰）。在得知“幻影猫”（艾伦·佩吉 E llen Page 饰）利用穿越时空的能力帮助Blink（范冰冰 饰）等战友逃脱巨型机器人“哨兵”的追杀后，X教授（帕特里克·斯图尔特 Patrick Stewart 饰）和万磁王（伊恩·麦克莱恩 Ian McKellen 饰）达成认同，决定让金刚狼（休·杰克曼 Hugh Jackman 饰）穿越回1973年，找到年轻的X教授（詹姆斯·麦卡沃伊 James McAvoy 饰）和年轻的万磁王（迈克尔·法斯宾德 Michael Fassbender 饰）并说服他们一起阻止魔形女的行动。于是...
猩球崛起,鲁伯特·瓦耶特,剧情;动作;科幻,2011-10-28,为了能让身患老年痴呆症的父亲重回正常的生活，威尔·罗曼（詹姆斯·弗兰科 James Franco 饰）一直致力于名为“Cure”的基因药物的开发，并在大猩猩身上不断进行着药物试验。在公司已经失去信心的同时，威尔继续在家完成试验，并在一只名为凯撒的大猩猩身上获得成功。借助灵长类学家卡洛琳（芙蕾达·平托 Freida Pinto 饰）的帮助，威尔发现凯撒的智力极大地提高。不过，人类的社会始终无法接受拥有极高智力的凯撒，凯撒被送往了猩猩看护所。看护所的残酷对待，使得凯撒利用智慧进行抗争，最终救走了同时被囚禁的其他猩猩，而且对它们都使用了Cure。一群高智商的猩猩与人类对立的战争就此拉开。本片获得了第84届奥斯卡最佳视觉效果的提名。
正义联盟：闪点悖论,杰伊·欧力瓦,动作;科幻;动画;奇幻;冒险,2013-7-30,某晚，中央城爆发激战，闪电侠巴里·艾伦（贾斯汀·钱伯斯 Justin Chambers 配音）和超人、蝙蝠侠、戴安娜、绿灯侠等正义联盟的伙伴们与来自25世纪的急速教授及其爪牙镜子大师、陀螺、速冻队长你来我往，最终将这群恶棍绳之于法。分别时刻，急速教授的一番话触动巴里心底最敏感的地方。在此之后，似乎一切都发生变化。他一觉醒来，发现无赖帮们继续为非作歹，自己则意外丧失了变身闪电侠的能力，更令他出乎意料的是本应在童年被盗贼杀害的母亲竟然活着出现在他面前。全世界仿佛也天翻地覆，戴安娜率领的亚马逊人以及亚特兰蒂斯阴谋毁灭世界，布鲁斯死去，他的父亲托马斯·韦恩则以粗暴的蝙蝠侠身份出现。                                                                    　　从未存在过的正义联盟，世界灭亡的前夕……
X战警：第一战,马修·沃恩,动作;剧情;科幻,2011-5-25,年轻的X教授查尔斯（詹姆斯·麦卡沃伊 James McAvoy 饰）和万磁王埃里克（迈克尔·法斯宾德 Michael Fassbender 饰）是一对志向相投的好朋友。他们最早发现了自己的超能力，并与其他几个变种人一起在CIA工作。引发埃里克超能力的纳粹战争贩子肖（凯文·贝肯 Kevin Bacon 饰）一直试图挑起核战争，而想方设法挑起美苏两国的矛盾。埃里克和查尔斯一直与肖手下的变种人战斗，努力阻止肖的阴谋。肖怂恿苏联引发古巴导弹危机，查尔斯和埃里克获知消息后，在海湾与肖手下的变种人拉开了对决的一战。最终，肖被查尔斯和埃里克合力消灭。可是，在这个过程中，埃里克逐渐被肖的政治观点影响，与查尔斯产生裂痕。通过海湾的这一战，埃里克和查尔斯最终决裂，一方变成支持人类与变种人和平共存的X教授；另一方坚持通过消灭人类换来变种人兴起的观点，自称万磁王.........
我，机器人,亚历克斯·普罗亚斯,动作;悬疑;科幻;惊悚,2004-7-16,公元2035年，是人和机器人和谐相处的社会，智能机器人作为最好的生产工具和人类伙伴，逐渐深入人类生活的各个领域，而由于机器人“三大法则”的限制，人类对机器人充满信任，很多机器人甚至已经成为家庭成员。                                                                            　　总部位于芝加哥的USR公司开发出了更先进的NS-5型超能机器人，然而就在新产品上市前夕，机器人的创造者阿尔弗莱德•朗宁博士却在公司内离奇自杀。                                                                            　　黑人警探戴尔•斯普纳（威尔•史密斯 饰）接手了此案的调查，由于不愉快的往事，斯普纳对机器人充满了怀疑，不相信人类与机器人能够和谐共处。他根据对朗宁博士生前在3D投影机内留下的信息分析和对自杀现场的勘查，怀疑对象锁定了朗宁博士自己研制的NS-5型机器人桑尼，而公司总裁劳伦斯•罗伯逊似乎也与此事有关。                                                                            　　斯普纳结识了专门研究机器人心理的女科学家苏珊•凯文(碧姬•奈娜汉 饰)，随着二人调查的深入，真相一步一步被揭露出来：...
十二猴子,特瑞·吉列姆,科幻;悬疑;惊悚,1995-12-8,公元2035年，人类被12只猴子军研制的一种病毒侵袭，大部分人类都在这场病毒灾难中死亡，只有少数人侥幸逃生，但也只能在阴暗的地下，苟且偷生。                                                                    　　科学家们决定派人穿越时光回到1996年追查12只猴子军的来历。囚徒詹姆斯·科尔(布鲁斯·威利斯 Bruce Willis 饰)被 挑选为志愿者。阴差阳错，科尔回到了1990年，当他向当时的人们描述未来的那场大灾难时，被当作精神病捉了起来并被医生凯瑟琳·雪莉（玛德琳·斯通 Madeleine Stowe 饰）诊断为精神分裂症。科尔在病友杰弗里·戈因斯帮助下逃脱，回到了未来。因为没查清12只猴子军的来历，科尔再次被派回了1996年。                                                                    　　科尔这次发现了12只猴子军的起源地在费城，他找到了医生凯瑟琳，二人一起展开了追查12只猴子军的冒险之旅!
终结者,詹姆斯·卡梅隆,动作;科幻;惊悚,1984-10-26,这是一个未来的世界，天下已经由机器人来操控。机器人想完全占有这个世界，把人类赶尽杀绝，然而却遇到了顽强抵抗的人类精英康纳。于是，终结者机器人T-800（阿诺•施瓦辛格 Arnold Schwarzenegger饰）受命回到1984年，杀害康纳母亲莎拉（琳达•汉密尔顿 Linda Hamilton 饰），目的是灭掉康纳的出生。 康纳得知后，火速派战士雷斯（迈克尔•比恩 Michael Biehn 饰）前往救援。雷斯来到1984年的洛杉矶，及时搭救了被机器人追杀的莎拉——她当时还是一个大学生。然而，人们把雷斯当成疯子，不相信未来机器人统治世界。 直到莎拉又一次遭到机器人追击，她才相信了这一切。奔走中她和雷斯相爱，怀上了未来的康纳，而雷斯也陷入和机器人的苦斗当中。人类世界能否从因为这场斗争改变原来的噩运？
升级,雷·沃纳尔,动作;科幻;惊悚,2018-3-10,格雷（罗根·马歇尔-格林 Logan Marshall-Green 饰）和女友艾莎（梅拉里·沃列何 Melanie Vallejo 饰）相恋多年，两人之间感情非常要好。一天，格雷带着艾莎去拜访一位名叫艾伦（哈里森·吉尔伯特森 Harrison Gilbertson 饰）的科学家，艾伦设计了人工智能芯片STEM，令艾莎叹为观止。                                                                    　　在回去的路上，格雷和艾莎所乘坐的无人驾驶汽车发生了故障，将两人带往了一处暴徒聚集的贫民窟，在那里，两人遭到了袭击，艾莎不幸丧生，而格雷身受重伤下半身瘫痪。心中充满了痛苦和绝望的格雷想为恋人报仇，于是找到了艾伦，将STEM芯片植入了大脑，在STEM的操纵下，格雷重新站了起来。让格雷没有想到的是，STEM的智慧远远超乎他的想象，而他亦被卷入了一个巨大的阴谋之中。
复仇者联盟3：无限战争,"安东尼·罗素,乔·罗素",动作;科幻;奇幻;冒险,2018-5-11,最先与灭霸军团遭遇的雷神索尔一行遭遇惨烈打击，洛基遇害，空间宝石落入灭霸之手。未几，灭霸的先锋部队杀至地球，一番缠斗后掳走奇异博士。为阻止时间宝石落入敌手，斯塔克和蜘蛛侠闯入了敌人的飞船。与此同时，拥有心灵宝石的幻视也遭到外星侵略者的袭击，为此美国队长、黑寡妇等人将其带到瓦坎达王国，向黑豹求助。幸免于难的索尔与星爵一行相逢，随后他们兵分两路。索尔与火箭、格鲁特踏上再铸雷神之锤的旅程，星爵则与卡魔拉等人试图阻止灭霸的恶行。而知晓灵魂宝石下落的卡魔拉，同样是其义父灭霸追踪的对象。                                                                    　　攸关整个宇宙命运的史诗战役全面展开，超级英雄们为了平凡而自由的生命奋不顾身……
云图,"汤姆·提克威,拉娜·沃卓斯基,莉莉·沃卓斯基",剧情;科幻;悬疑,2013-1-31,1850年，南太平洋，美国公证人亚当·尤因（吉姆·斯特吉斯 Jim Sturgess 饰）在船上被不明寄生虫病折磨，他用日记记录下自己所见所闻；1931年，苏格兰，落魄青年罗伯特·弗罗比舍（本·卫肖 Ben Whishaw 饰）为音乐大师记录曲谱，受到半本旅行日记的启发创作出了恢宏壮阔的《云图六重奏》；1975年，美国加州，小报记者路易莎·雷（哈莉·贝瑞 Halle Berry 饰）冒着生命危险调查一桩核电站丑闻，在老唱片店她被一首不知名的乐章打动；2012年，英国伦敦，被囚禁在养老院的出版商蒂莫西·卡文迪什（吉姆·布劳德本特 Jim Broadbent 饰）揣着一叠由女记者写成的纪实文学，打算将自己的“越狱经历”拍成电影；乌托邦未来，首尔，餐厅服务员克隆人星美-451（裴斗娜 Doona Bae 饰）开始形成自我意识和反抗人类，她在人类图书馆看了一...
无姓之人,雅克·范·多梅尔,剧情;爱情;科幻;奇幻,2009-9-12,在2092年的未来，火星已成了地球人热衷的度假胜地。118岁高龄的尼莫·诺巴蒂（杰瑞德·莱托 Jared Leto 饰）是最后一位仍会死亡的自然人。记忆混乱的他在一次次的催眠及采访之中不断回忆自己的童年，却在每个人生分岔点都衍生出完全不同的人生。在这些不同的版本中，有母亲（娜塔莎·雷托 Natasha Little 饰）和父亲（瑞斯·伊凡斯 Rhys Ifans 饰）离婚后再婚而变成了尼莫“妹妹”的安娜（黛安·克鲁格 Diane Kruger 饰），有身患抑郁症婚后情绪不稳的埃莉斯（萨拉·波莉 Sarah Polley 饰），还有与他育有三名子女的亚洲女孩吉恩（范林丹 Linh Dan Pham 饰）。交织在宇宙大爆炸理论、超弦理论和时间特性的解释中，尼莫的人生真相究竟为何呢？                                                                            　　本片获2009年威尼斯电影节金狮奖提名，并获虚构类最佳传记电影奖和Gol...
星球大战前传1：幽灵的威胁,乔治·卢卡斯,动作;科幻;冒险,1999-11-5,作为星球大战前传系列的首部曲，这部电影诞生了一个重要的人物：阿纳金（杰克·洛伊德 Jake Lloyd  . 饰）。银河国会会议上出现了利益争执，纳布星的女王阿米达拉（娜塔丽·波特曼 Natalie Portman   饰）被贸易联盟绑架并威胁签署新的贸易协议。绝地武士奎刚（连姆·尼森 Liam Neeson 饰）及徒弟欧比-旺•肯诺比（伊万·麦克格雷格 Ewan McGregor  饰）受命前去解决纠纷，维护和平。他们的飞船在塔图因星意外降落的时候遇到了阿纳金并且带走了他。                                                                    　　在奇异天才少年阿纳金等人的帮助下，奎刚及欧比-旺与贸易联盟的机器人部队和西斯武士展开了决斗.....
银河护卫队,詹姆斯·古恩,动作;科幻;冒险,2014-10-10,彼得·奎尔（克里斯·帕拉特 Chris Pratt 饰）是一名从小被劫持到外太空的地球人，在义父勇度（迈克尔·鲁克 Michael Rooker 饰）的培养下成了一个终极混混，自称“星爵”。一次行动中他偷了一块神秘球体，便成为了赏金猎人火箭浣熊（布莱德利·库珀  Bradley Cooper 配音）、树人格鲁特（范·迪塞尔 Vin Diesel 配音）的绑架目标，而神秘的卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）也对神秘球体势在必得。经过笑料百出的坎坷遭遇，星爵被迫和这三人，以及复仇心切的“毁灭者”德拉克斯（戴夫·巴蒂斯塔 Dave Bautista 饰）组成小分队逃避“指控者”罗南（李·佩斯 Lee Pace 饰）的追杀。然而这个神秘球体拥有无穷的力量，小分队必须团结一致对付罗南，才有可能解救整个银河系，银河护卫队由此诞生。
迷雾,弗兰克·德拉邦特,科幻;惊悚;恐怖,2007-11-21,一座风景秀美的小镇被一场突如其来的浓雾瞬间淹没。雾中传来阵阵惨叫，人们惊慌失措地四处逃散。戴维和他的儿子与众多镇上的人被困在小镇超市里，等待雾的消散。浓雾并没有如期望的散开，而走进浓雾的人一去不返。浓雾逐渐露出了它狰狞的面目。恐惧、惊慌、挣扎、悲伤、绝望……人们的精神濒临崩溃。如何才能活着走出迷雾？面对超市里几近癫狂的人们和超市外吞噬一切、不可知的迷雾，戴维紧紧搂着儿子，开始了艰难的求生之路……
扎克·施奈德版正义联盟,扎克·施奈德,动作;科幻;奇幻;冒险,2021-5-3,布鲁斯·韦恩（本·阿弗莱克饰）为了确保不让超人（亨利·卡维尔饰）白白牺牲，他决定与戴安娜·普林斯（盖尔·加朵饰）联手并计划招募一支超能力者团队来保护世界免遭即将到来的灾难性威胁。但这项任务比布鲁斯想象中要困难，因为每位成员都必须面对并跨越自己过去的心魔，团结起来，最终形成一个前所未有的英雄联盟。 蝙蝠侠、神奇女侠、海王（杰森·莫玛饰）、钢骨（雷·费舍饰）、闪电侠（埃兹拉·米勒饰）现在必须联合起来，否则就无法阻止荒原狼（塞伦·希德饰）、狄萨德（彼得·吉尼斯饰）以及达克赛德（雷·波特饰）毁灭地球的可怕计划。
独立日,罗兰·艾默里奇,动作;科幻;冒险;灾难,1996-7-2,未来某年的7月2日，美国各地的监视站发现一艘直径达数百英里的巨大飞船接近了地球。飞船发出的无线电信号干扰了地球的通信卫星信号，并放出了多艘直径达15英里的子飞船飞抵地球上各大城市的上空。外星飞船敌友未明，人们陷入了恐慌和迷惑。                                                                    　　电脑工程师戴维（杰夫•戈德布拉姆 饰）破译出外星人发出的无线电信号，其实是攻击的倒计时信号，他设法通知了前妻，总统的助理康妮，但是为时已晚，7月3日，外星人的飞船开始攻击地球，人类文明瞬间遭到巨大的打击和灾难。总统（比尔•普尔曼 饰）等人撤离到军事基地，指挥空军反击，却犹如以卵击石，毫无作用，军事基地也被摧毁，唯有飞行员史蒂文（威尔•史密斯 饰）设法诱使一架外星人战斗飞艇坠毁。                                                                    　　幸存者们逃到了秘密军事基地，在那里，科学家们一直在研究一艘50多年前坠毁的外星飞艇，致力于找出对付外星人的办法，那里也是人类最后的希望……
钢铁巨人,布拉德·伯德,喜剧;动作;科幻;动画;冒险,1999-8-6,往日平静的洛克威小镇，近来怪事不断，先是农家被毁、车子损坏等。一天晚上，发电厂也遭到了破坏，导致全镇停电，引起了全镇居民的恐慌。小男孩霍加斯（艾力·马伦斯奥 Eli Marienthal 配音）觉得迹象很可疑，于是沿着电缆线走到了建在森林中的发电厂，发现了凶手——钢铁巨人（范·迪塞尔 Vin Diesel 配音）。开始霍加斯被钢铁巨人巨大的身躯吓坏了，但发现他被高压电缆线缠住，无法脱身。霍加斯没有打算将此事向大人们报告，而是打算救他出来，在多日的交往过程中，霍加斯发现他其实有颗善良的心，两人成了好朋友。钢铁巨人以铁为食，每天要消耗大量的铁，供不应求，霍加斯只好带他去狄恩（小哈里·康尼克 Harry Connick Jr.）旧车厂。 另一方面，政府派来了肯特（克里斯托弗·麦克唐纳 Christopher McDonald 配音），追查铁巨人的下落，并到...
最终幻想7：圣子降临,"野村哲也,野末武志",动画;动作;科幻;惊悚,2005-8-31,赛菲罗斯的事件已经过去2年了，人类从巨大陨石的灾难之下逃脱。曾经繁荣的都市虽然满目疮痍，但人们已经开始投入重建家园的工作之中。而拯救世界的英雄克劳德，却过着与世隔绝的生活。                                                                    　　但是，神秘的疾病“星痕症候群”在世界蔓延。蒂法•洛克哈特决定找寻克劳德。但当她找到克劳德之时，眼前这个人，只是一个为艾利斯之死郁郁寡欢的落魄男子。                                                                    　　以继承赛菲罗斯的遗志而组成的白发三人组出现在人们眼前，文森特不得不再次挥动双枪，保护大家。而世界的英雄，克劳德，能否再次振作，守护这个世界呢？
星际迷航,J·J·艾布拉姆斯,动作;冒险;科幻,2009-5-15,故事发生在的二十三世纪，人类的科技发展已经到达了可以星际旅行的地步。                                                                            　　2230年出生于瓦肯星的男孩史波克（扎克瑞·昆图 Zachary Quinto 饰），因为母亲阿曼达·格雷森（薇诺娜·赖德 Winona Ryder 饰）是人类，经常遭到同僚的嘲笑和欺负。父亲萨瑞克（本·克劳斯 Ben Cross 饰）是瓦肯星的一名外交官，史波克从小就不断地在严肃的瓦肯逻辑教育和他的人类情感之间挣扎。长大后的史波克遇到了同样怀着远大志向的柯克（克里斯·派恩 Chris Pine 饰），两人虽矛盾不断但通过种种任务考验逐渐开始互相理解。                                                                            　　企业号的老舰长是克里斯托弗·派克（布鲁斯·格林伍德 Bruce Greenwood 饰），舰员则包括医疗官“老骨头”麦考伊（卡尔·厄本 Karl Urban 饰）、总工程师史考特（西蒙·佩吉 Simon Pegg 饰）、通讯官乌瑚拉...
异形2,詹姆斯·卡梅隆,动作;科幻;惊悚;冒险,1986-7-18,蕾普莉（西格妮•韦弗 Sigourney Weaver　饰）是首次探险任务遇到异形后的唯一生还者，她一直冬眠直到被救援队救回地球。当她睁开眼睛后，才发现自己已经冬眠了57年！                                                                    　　期间，人类已经移居到了异形所在的星球。蕾普莉知道后，马上向当局报局该星球上异形的情况，但却被当局认为要么精神不正常，要么谎话连篇。蕾普莉见当局对她的说话不予理睬，便决心不再涉足和异形有关的任何事。                                                                    　　果不其然，在那个异形所在的那个星球上定居的人忽然和地球中断了联系。这时当局才注意到蕾普莉之前汇报的情况，决定派出军队去营救。蕾普莉被说服参与营救行动。                                                                    　　又一场腥风血雨的战斗展开了！
宇宙探索编辑部,孔大山,喜剧;科幻,2023-4-1,唐志军（杨皓宇 饰）是一家诞生于上世纪八十年代的科幻杂志——《宇宙探索》编辑部的主编。现如今的杂志社日渐式微，唐志军也终成落魄潦倒，鳏寡孤独之人。但他却依然几十年如一日的痴迷于寻找地外文明。终于有一天，他接收到了一个疑似来自宇宙深处的异常信号，于是他召集同是天涯沦落人的伙伴们，带着那一个困惑他终生的问题，再一次踏上寻找外星人的旅途。
2012,罗兰·艾默里奇,科幻;灾难,2009-11-13,太阳活动异常，地球内部的能量平衡系统面临崩溃，玛雅人的预言即将实现，人类将遭遇灭顶之灾。各国政府已经联手开始秘密制造方舟，希望能躲过这一浩劫。以写科幻小说谋生的杰克逊（约翰·库萨克 John Cusack 饰）在带孩子们到黄石公园渡周末时发生一连串怪事，而且遇到了神经兮兮的查理（伍迪·哈里森 Woody Harrelson 饰)，查理告诉他世界末日即将来临。伴随着火山爆发，强烈地震以及海啸，杰克逊带领自己的家人驾驶一架临时租来的飞机冲出被死神阴霾瞬间笼罩的城市上空，开始寻找查理口中各国政府正在联合秘密制造的方舟。在生死攸关的时刻，一些伟大的鬼魂将脱颖而出，而一些自私的心灵将无所遁形，当千千万万个生灵通过各种方法来到方舟制造基地之时，方舟有限的容纳数量引发前所未有的恐慌。最终，仅存的人们用互爱和对生命的尊重渡过了难关。                                                                            　　本片被称为《后天》的升级版，投资...
银河护卫队2,詹姆斯·古恩,动作;科幻;冒险,2017-5-5,火箭浣熊（布莱德利·库珀 Bradley Cooper 配音）偷走了大祭司阿耶莎（伊丽莎白·德比齐 Elizabeth Debicki 饰）的能量电池，包括星爵（克里斯·帕拉特 Chris Pratt 饰）、卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）、德拉克斯（戴夫·巴蒂斯塔 Dave Bautista 饰）在内的一行人遭到了后者派出的舰队的袭击。一个神秘人物乘坐着飞船救下了银河护卫队的众人，而驾驶着飞船的不是别人，竟然正是星爵的亲生父亲伊戈（库尔特·拉塞尔 Kurt Russell 饰）。                                                                    　　在伊戈的带领下，星爵、卡魔拉和德拉克斯来到了由伊戈一手制造的星球上，而剩下的成员们则着手修复损坏的飞船。那边厢，阿耶莎委托勇度（迈克尔·鲁克 Michael Rooker 饰）抓住星爵替自己报仇，而卡魔拉亦渐渐发现了伊戈和善面目下隐藏的巨大阴谋。
